concept_qname,lang,text
bus:MediumEntities,cy,Endidau canolig (FRS 102)
bus:MediumEntities,en,Medium entities (FRS 102)
bus:Micro-entities,cy,Endidau micro (FRS 105)
bus:Micro-entities,en,Micro-entities (FRS 105)
bus:SmallEntities,cy,Cyfundrefn endidau bach (Adran 1A Endidau Bach FRS 102)
bus:SmallEntities,en,Small entities regime (Section 1A Small Entities of FRS 102)
core:ConsumerLoansClassifiedUnderInvestments,cy,"Benthyciadau defnyddwyr, dosbarthwyd o dan buddsoddiadau"
core:ConsumerLoansClassifiedUnderInvestments,en,"Consumer loans, classified under investments"
core:CorporateLoansClassifiedUnderInvestments,cy,"Benthyciadau Corfforaethol, dosbarthwyd o dan buddsoddiadau"
core:CorporateLoansClassifiedUnderInvestments,en,"Corporate loans, classified under investments"
core:Equity,cy,Ecwiti / cyfalaf cyfranddaliad a chronfeydd Wrth Gefn
core:Equity,en,Equity / share capital and reserves
core:FinancialNon-financialTradeOtherPayableSub-totalsHeading,cy,Is-gyfansymiau credydwr ariannol a nad ydynt yn ariannol [pennawd]
core:FinancialNon-financialTradeOtherPayableSub-totalsHeading,en,Financial and non-financial creditor sub-totals [heading]
core:IncreaseDecreaseInNetRetirementBenefitObligationsFromTransfersToFromOtherSchemes,cy,Cynnydd (gostyngiad) mewn atebolrwydd cynllun budd diffiniedig net o drosglwyddiad i ac o gynlluniau eraill
core:IncreaseDecreaseInNetRetirementBenefitObligationsFromTransfersToFromOtherSchemes,en,Increase (decrease) in net retirement benefit obligations from transfers to and from other schemes
core:PropertyPlantEquipment,cy,"Eiddo, peiriannau a chyfarpar / asedau sefydlog diriaethol"
core:PropertyPlantEquipment,en,"Property, plant and equipment / tangible fixed assets"
direp:DIDescriptionOtherGenderCategory,cy,Disgrifiad o gategori rhywedd arall
direp:DIDescriptionOtherGenderCategory,en,Description of other gender category
direp:DINumberBoardMembers,cy,Nifer aelodau'r bwrdd
direp:DINumberBoardMembers,en,Number of board members
direp:DINumberInExecutiveManagement,cy,Nifer mewn rheolaeth weithredol
direp:DINumberInExecutiveManagement,en,Number in executive management
direp:DINumberSeniorPositionsOnBoard,cy,Nifer yr uwch swyddi ar y bwrdd
direp:DINumberSeniorPositionsOnBoard,en,Number of senior positions on the board
direp:DIPercentageBoard,cy,Canran o'r bwrdd
direp:DIPercentageBoard,en,Percentage of the board
direp:DIPercentageExecutiveManagement,cy,Canran y rheolwyr gweithredol
direp:DIPercentageExecutiveManagement,en,Percentage of executive management
direp:DIReferenceDateForDiversityInclusionData,cy,Dyddiad cyfeirio ar gyfer data amrywiaeth a chynhwysiant
direp:DIReferenceDateForDiversityInclusionData,en,Reference date for diversity and inclusion data
direp:DIStatementExplainingApproachToCollectingDiversityInclusionData,cy,Datganiad yn esbonio'r dull o gasglu data amrywiaeth a chynhwysiant
direp:DIStatementExplainingApproachToCollectingDiversityInclusionData,en,Statement explaining approach to collecting diversity and inclusion data
direp:DIStatementOnSpecificBoardDiversityTargets-ComplyOrExplain,cy,Datganiad ar dargedau amrywiaeth bwrdd penodol - cydymffurfio neu egluro
direp:DIStatementOnSpecificBoardDiversityTargets-ComplyOrExplain,en,Statement on specific board diversity targets - comply or explain
direp:GPGBonusPayProportion,cy,Cyfran y cyflog bonws
direp:GPGBonusPayProportion,en,Bonus pay proportion
direp:GPGEmployerSize,cy,Maint y cyflogwr
direp:GPGEmployerSize,en,Employer size
direp:GPGFurtherInformationRelatingToGPGBreakdown,cy,Rhagor o wybodaeth am y dadansoddiad o GPG
direp:GPGFurtherInformationRelatingToGPGBreakdown,en,Further information relating to GPG breakdown
direp:GPGHourlyPayProportion,cy,Cyfran y cyflog fesul awr
direp:GPGHourlyPayProportion,en,Hourly pay proportion
direp:GPGInformation,cy,Gwybodaeth
direp:GPGInformation,en,Information
direp:GPGInformationURL,cy,Gwybodaeth URL
direp:GPGInformationURL,en,Information URL
direp:GPGMeanBonusPayDifference,cy,Gwahaniaeth cymedrig y cyflog bonws
direp:GPGMeanBonusPayDifference,en,Mean bonus pay difference
direp:GPGMeanHourlyPayDifference,cy,Gwahaniaeth cymedrig y cyflog fesul awr
direp:GPGMeanHourlyPayDifference,en,Mean hourly pay difference
direp:GPGMedianBonusPayDifference,cy,Gwahaniaeth cymedrig y cyflog bonws
direp:GPGMedianBonusPayDifference,en,Median bonus pay difference
direp:GPGMedianHourlyPayDifference,cy,Gwahaniaeth canolrif y cyflog fesul awr
direp:GPGMedianHourlyPayDifference,en,Median hourly pay difference
direp:GPGResponsiblePersonName,cy,Enw'r person cyfrifol
direp:GPGResponsiblePersonName,en,Responsible person name
direp:GPGResponsiblePersonPosition,cy,Swydd y person cyfrifol
direp:GPGResponsiblePersonPosition,en,Responsible person position
direp:GPGSnapshotDate,cy,Dyddiad y ciplun
direp:GPGSnapshotDate,en,Snapshot date
direp:GPGUseFurtherInformationItemToExplainAnyVariationInBinaryGenderReportingGuidance,cy,Defnyddiwch yr eitem rhagor o wybodaeth i esbonio unrhyw amrywiad mewn adroddiadau rhyw deuaidd [canllaw]
direp:GPGUseFurtherInformationItemToExplainAnyVariationInBinaryGenderReportingGuidance,en,Use further information item to explain any variation in binary gender reporting [guidance]